number,signed_margin,fav_spread,distance,n_bucket,empirical_rate,baseline_rate,excess_rate
5,-5,12.5,17.5,35,0.0,0.01075637320661117,-0.01075637320661117
5,-5,13.0,18.0,59,0.0,0.010458043777922955,-0.010458043777922955
5,-5,13.5,18.5,50,0.0,0.009440266281637216,-0.009440266281637216
5,-5,14.0,19.0,79,0.0,0.00900172928874975,-0.00900172928874975
6,6,1.0,5.0,218,0.05045871559633028,0.019398898708303244,0.031059816888027034
6,6,1.5,4.5,102,0.029411764705882353,0.012753539697566284,0.01665822500831607
6,6,2.0,4.0,107,0.028037383177570093,0.012271967131998284,0.015765416045571808
6,6,2.5,3.5,420,0.030952380952380953,0.018450339625439866,0.012502041326941087
6,6,3.0,3.0,784,0.039540816326530615,0.027291961720934402,0.012248854605596212
6,6,3.5,2.5,517,0.04448742746615087,0.034221513575528356,0.010265913890622515
6,6,4.0,2.0,248,0.056451612903225805,0.03641428547585825,0.02003732742736755
6,6,4.5,1.5,189,0.021164021164021163,0.03654971817283962,-0.015385697008818457
6,6,5.0,1.0,115,0.043478260869565216,0.03559016242914808,0.007888098440417136
6,6,5.5,0.5,213,0.018779342723004695,0.03452754795604475,-0.015748205233040054
6,6,6.0,0.0,242,0.03305785123966942,0.03446847920858031,-0.0014106279689108867
6,6,6.5,0.5,239,0.06276150627615062,0.03524693808084241,0.027514568195308217
6,6,7.0,1.0,337,0.032640949554896145,0.036529473684138586,-0.0038885241292424405
6,6,7.5,1.5,230,0.0391304347826087,0.03710159357897227,0.0020288412036364306
6,6,8.0,2.0,56,0.0,0.03687041308257666,-0.03687041308257666
6,6,8.5,2.5,58,0.10344827586206896,0.035798685464837825,0.06764959039723115
6,6,9.0,3.0,109,0.027522935779816515,0.03347602337875266,-0.0059530875989361465
6,6,9.5,3.5,129,0.03875968992248062,0.033462863719766714,0.005296826202713906
6,6,10.0,4.0,163,0.049079754601226995,0.03298775422710123,0.016092000374125767
6,6,10.5,4.5,108,0.037037037037037035,0.032428990308950995,0.00460804672808604
6,6,11.0,5.0,58,0.017241379310344827,0.03195892269621854,-0.014717543385873715
6,6,12.5,6.5,35,0.02857142857142857,0.02968599252962459,-0.001114563958196018
6,6,13.0,7.0,59,0.03389830508474576,0.02840138816035216,0.005496916924393604
6,6,13.5,7.5,50,0.06,0.028000350038372503,0.03199964996162749
6,6,14.0,8.0,79,0.012658227848101266,0.027021593568223548,-0.014363365720122282
6,-6,1.0,7.0,218,0.027522935779816515,0.017792263016866875,0.00973067276294964
6,-6,1.5,7.5,102,0.049019607843137254,0.012176795743782325,0.03684281209935493
6,-6,2.0,8.0,107,0.028037383177570093,0.011911593665240323,0.01612578951232977
6,-6,2.5,8.5,420,0.02619047619047619,0.016958264862910532,0.00923221132756566
6,-6,3.0,9.0,784,0.03316326530612245,0.02229063390485373,0.01087263140126872
6,-6,3.5,9.5,517,0.019342359767891684,0.024457904177440443,-0.005115544409548759
6,-6,4.0,10.0,248,0.04838709677419355,0.023904889071069822,0.024482207703123725
6,-6,4.5,10.5,189,0.015873015873015872,0.022865626291973834,-0.006992610418957962
6,-6,5.0,11.0,115,0.034782608695652174,0.02188644787307813,0.012896160822574044
6,-6,5.5,11.5,213,0.04225352112676056,0.020960043675246464,0.0212934774515141
6,-6,6.0,12.0,242,0.04132231404958678,0.02004940289174588,0.0212729111578409
6,-6,6.5,12.5,239,0.03765690376569038,0.0190665494391999,0.018590354326490477
6,-6,7.0,13.0,337,0.017804154302670624,0.01787828758934916,-7.413328667853561e-05
6,-6,7.5,13.5,230,0.021739130434782608,0.016687678018128625,0.0050514524166539836
6,-6,8.0,14.0,56,0.03571428571428571,0.015694675251407858,0.020019610462877854
6,-6,8.5,14.5,58,0.017241379310344827,0.015009454450496791,0.0022319248598480362
6,-6,9.0,15.0,109,0.01834862385321101,0.01473824032736442,0.0036103835258465902
6,-6,9.5,15.5,129,0.0,0.01375788136319942,-0.01375788136319942
6,-6,10.0,16.0,163,0.012269938650306749,0.012954144524558824,-0.0006842058742520755
6,-6,10.5,16.5,108,0.018518518518518517,0.012167327737694831,0.006351190780823687
6,-6,11.0,17.0,58,0.034482758620689655,0.01136661746653137,0.023116141154158283
6,-6,12.5,18.5,35,0.0,0.009375533126156235,-0.009375533126156235
6,-6,13.0,19.0,59,0.0,0.009153244266907402,-0.009153244266907402
6,-6,13.5,19.5,50,0.0,0.008189479000876384,-0.008189479000876384
6,-6,14.0,20.0,79,0.0,0.007803007297321443,-0.007803007297321443
7,7,1.0,6.0,218,0.027522935779816515,0.018623615855660622,0.008899319924155893
7,7,1.5,5.5,102,0.058823529411764705,0.012585753691412092,0.04623777572035261
7,7,2.0,5.0,107,0.028037383177570093,0.012203084218367563,0.01583429895920253
7,7,2.5,4.5,420,0.05238095238095238,0.018241759042171467,0.03413919333878092
7,7,3.0,4.0,784,0.04974489795918367,0.026751228152562187,0.022993669806621486
7,7,3.5,3.5,517,0.05415860735009671,0.03340337552125141,0.020755231828845304
7,7,4.0,3.0,248,0.08064516129032258,0.03561914300311953,0.04502601828720305
7,7,4.5,2.5,189,0.031746031746031744,0.035916209188876794,-0.004170177442845049
7,7,5.0,2.0,115,0.034782608695652174,0.03515824861275445,-0.0003756399171022731
7,7,5.5,1.5,213,0.056338028169014086,0.034266408181056,0.022071619987958084
7,7,6.0,1.0,242,0.05371900826446281,0.034338429504331275,0.019380578760131537
7,7,6.5,0.5,239,0.05439330543933055,0.03524693808084241,0.01914636735848814
7,7,7.0,0.0,337,0.05637982195845697,0.036686041577443554,0.019693780381013416
7,7,7.5,0.5,230,0.0782608695652174,0.03743487349729882,0.04082599606791858
7,7,8.0,1.0,56,0.05357142857142857,0.037369178989130725,0.016202249582297844
7,7,8.5,1.5,58,0.08620689655172414,0.03641710216394545,0.049789794387778696
7,7,9.0,2.0,109,0.09174311926605505,0.03412351872713802,0.05761960053891703
7,7,9.5,2.5,129,0.031007751937984496,0.034263239895245254,-0.003255487957260758
7,7,10.0,3.0,163,0.04294478527607362,0.03390834948500211,0.00903643579107151
7,7,10.5,3.5,108,0.07407407407407407,0.03346620664482862,0.04060786742924545
7,7,11.0,4.0,58,0.06896551724137931,0.033113521992335346,0.035851995249043964
7,7,12.5,5.5,35,0.02857142857142857,0.031097861636398175,-0.002526433064969604
7,7,13.0,6.0,59,0.0847457627118644,0.02978646183568909,0.054959300876175315
7,7,13.5,6.5,50,0.1,0.029561750415881966,0.07043824958411804
7,7,14.0,7.0,79,0.0759493670886076,0.028578781135789343,0.047370585952818255
7,-7,1.0,8.0,218,0.05504587155963303,0.016929213280845793,0.03811665827878724
7,-7,1.5,8.5,102,0.029411764705882353,0.011943065316775147,0.017468699389107206
7,-7,2.0,9.0,107,0.037383177570093455,0.011787992009470519,0.025595185560622936
7,-7,2.5,9.5,420,0.04285714285714286,0.016541555255511018,0.02631558760163184
7,-7,3.0,10.0,784,0.044642857142857144,0.02115734010192288,0.023485517040934264
7,-7,3.5,10.5,517,0.05029013539651837,0.022598415854564447,0.027691719541953926
7,-7,4.0,11.0,248,0.036290322580645164,0.02181965790810748,0.014470664672537683
7,-7,4.5,11.5,189,0.06349206349206349,0.020797932888918496,0.04269413060314499
